field,angle,ik,ikprime,qx,qy,qz,t2_raw,t2_smoothed
2.0,29,7,7,0.0,0.0,0.0,0.05213774375260232,0.052137848105649885
2.0,29,7,8,0.03605065675233986,-0.02081385638042621,-2.879801296778338e-18,0.04324634201435842,0.04373537488415148
2.0,29,7,9,0.03605065675233986,0.02081385638042621,2.156865190553251e-18,0.03575937675783882,0.03585228391129906
2.0,29,7,10,-0.3605065675233989,0.1665108510434099,2.3761346480451823e-17,3.5047615677349264e-05,3.657354382094338e-05
2.0,29,7,11,-0.3244559107710589,0.14569699466298358,2.088154518367348e-17,5.5885789477476067e-05,9.12459146916852e-05
2.0,29,7,12,-0.3605065675233989,0.20813856380426243,2.879801296778343e-17,5.819697796834304e-05,8.416392371447165e-05
2.0,29,7,13,-0.3244559107710589,0.1873247074238361,2.591821167100508e-17,5.102672071697302e-07,5.102672003652535e-07
2.0,29,7,14,-0.3244559107710589,0.22895242018468853,3.095487815833667e-17,9.77525355459652e-05,0.00012657494709987412
2.0,29,8,0,-0.07210131350467978,0.4162771276085246,5.108960097954106e-17,0.00025075370127720215,0.00018582054583669662
2.0,29,8,1,-0.0360506567523399,0.3954632712280984,4.8209799682762715e-17,0.00017949977049650423,0.00013561202533316307
2.0,29,8,2,-2.7755575615628914e-17,0.3746494148476721,4.532999838598438e-17,2.1197072441603221e-07,2.1197072110816794e-07
2.0,29,8,3,-0.03605065675233991,0.4370909839889508,5.324646617009431e-17,0.0030165062884418723,0.0028791578240152044
2.0,29,8,4,-2.7755575615628914e-17,0.41627712760852453,5.0366664873315966e-17,0.0017916956779158466,0.0018281128029378913
2.0,29,8,5,-0.07210131350467973,0.0,7.229361062250747e-19,0.017562503147043895,0.017857023744622107
2.0,29,8,6,-0.036050656752339844,-0.02081385638042632,-2.1568651905532634e-18,0.0560903839169279,0.05611420075518606
2.0,29,8,7,-0.03605065675233986,0.02081385638042621,2.879801296778338e-18,0.043246342014358403,0.04373537488415146
2.0,29,8,8,0.0,0.0,0.0,0.08423000060088963,0.08422122101256396
2.0,29,8,9,0.0,0.04162771276085242,5.036666487331589e-18,0.04459929648021643,0.044780076410230595
2.0,29,8,10,-0.3965572242757387,0.1873247074238361,2.664114777723016e-17,0.00013839176126245425,0.0001419591725331426
2.0,29,8,11,-0.3605065675233987,0.1665108510434098,2.3761346480451817e-17,3.0608208840940264e-05,3.1938420798075677e-05
2.0,29,8,12,-0.3965572242757387,0.22895242018468864,3.167781426456177e-17,0.00010101655234601522,0.0001057326701484895
2.0,29,8,13,-0.3605065675233987,0.20813856380426232,2.879801296778342e-17,5.291650599718051e-05,7.394199303432404e-05
2.0,29,8,14,-0.3605065675233987,0.24976627656511474,3.383467945511501e-17,0.00011704342775520586,0.00012594200728369365
2.0,29,9,0,-0.07210131350467978,0.37464941484767217,4.605293449220947e-17,0.0002137840502977109,0.0002342112665392662
2.0,29,9,1,-0.0360506567523399,0.35383555846724596,4.3173133195431126e-17,0.00023719771118357885,0.0002140973598214035
